vlLocX,vlLocY,descLanduse,descUnit,vlCadmium,vlCobalt,vlChromium,vlNickel,vlLead,vlZinc,status,rankCadmium,rankCobalt,rankChromium,rankNickel,rankPb,rankZn,descAnomalyZn
1.695,3.227,floresta,argoviano,1.835,5.88,35.08,21.44,56.68,97.48,,0.78,0.21,0.51,0.55,0.71,0.82,normal
3.228,3.617,campo,kimmeridgiano,1.835,13.32,47.4,24.0,80.4,90.0,,0.78,0.88,0.88,0.69,0.89,0.75,normal
3.843,3.121,campo,quaternario,1.84,10.8,39.52,35.28,44.4,86.0,,0.79,0.6,0.68,0.98,0.46,0.71,normal
3.656,2.67,floresta,kimmeridgiano,1.875,11.12,36.12,25.4,70.0,65.2,,0.8,0.62,0.56,0.74,0.83,0.4,normal
3.122,1.695,campo,kimmeridgiano,1.885,12.92,44.0,34.72,72.88,120.28,,0.8,0.85,0.8,0.97,0.85,0.92,normal
3.875,4.924,campo,quaternario,1.895,11.48,52.0,26.72,35.6,141.6,,0.8,0.66,0.93,0.81,0.22,0.98,normal
3.681,5.69,pastagem,kimmeridgiano,1.898,12.64,54.0,28.36,59.2,86.0,,0.81,0.82,0.96,0.86,0.74,0.71,normal
3.379,4.308,campo,quaternario,1.9,8.52,46.4,24.8,36.44,83.6,,0.81,0.37,0.86,0.72,0.25,0.69,normal
3.12,1.469,floresta,sequaniano,1.91,2.12,31.12,8.0,69.16,50.4,,0.82,0.01,0.37,0.1,0.82,0.2,normal
2.774,1.544,pastagem,sequaniano,1.915,8.44,42.32,20.64,45.72,90.24,,0.82,0.36,0.75,0.5,0.5,0.76,normal
4.07,4.157,campo,sequaniano,1.916,14.36,47.6,28.44,50.0,90.8,,0.82,0.95,0.88,0.87,0.57,0.78,normal
3.669,4.291,pastagem,sequaniano,1.917,8.44,33.48,18.72,35.12,59.6,,0.83,0.36,0.45,0.41,0.21,0.32,normal
2.969,0.778,pastagem,kimmeridgiano,1.93,12.44,43.04,33.76,157.28,166.28,,0.83,0.79,0.77,0.96,0.98,1.0,high_anomaly
3.127,1.691,campo,kimmeridgiano,1.96,13.4,45.2,35.12,93.92,123.84,,0.84,0.89,0.82,0.98,0.94,0.93,normal
3.585,4.04,pastagem,sequaniano,1.97,8.0,51.2,25.76,66.0,99.2,,0.84,0.34,0.92,0.75,0.8,0.83,normal
3.447,4.733,pastagem,quaternario,1.98,8.4,40.8,17.68,39.92,108.0,,0.84,0.36,0.72,0.38,0.37,0.89,normal
3.175,2.102,campo,kimmeridgiano,1.985,12.2,38.4,37.2,42.68,89.84,,0.85,0.76,0.63,0.99,0.42,0.74,normal
3.085,1.677,campo,kimmeridgiano,2.04,11.8,40.4,29.8,63.92,107.2,,0.85,0.7,0.7,0.92,0.77,0.88,normal
3.541,1.739,lavoura,sequaniano,2.055,6.32,29.8,20.8,43.6,59.36,,0.86,0.23,0.33,0.51,0.44,0.32,normal
1.108,1.535,pastagem,sequaniano,2.055,8.08,50.4,23.16,195.6,108.0,,0.86,0.34,0.91,0.65,0.99,0.89,normal
3.59,4.033,pastagem,sequaniano,2.08,7.92,56.4,24.84,37.56,79.6,,0.86,0.33,0.97,0.73,0.3,0.62,normal
4.292,3.29,campo,kimmeridgiano,2.08,11.92,31.68,28.64,52.8,110.8,,0.86,0.72,0.39,0.88,0.64,0.9,normal
2.599,1.996,campo,kimmeridgiano,2.115,13.16,43.08,53.2,172.12,133.88,,0.87,0.87,0.78,1.0,0.99,0.95,normal
3.077,2.926,pastagem,kimmeridgiano,2.12,10.12,35.32,21.52,42.4,64.8,,0.88,0.52,0.52,0.55,0.42,0.39,normal
3.406,4.741,pastagem,quaternario,2.15,7.32,48.0,19.72,42.8,120.8,,0.88,0.29,0.89,0.45,0.43,0.92,normal
4.308,1.933,campo,kimmeridgiano,2.15,11.92,43.52,29.72,56.4,90.0,,0.88,0.72,0.79,0.91,0.68,0.75,normal
3.592,4.027,pastagem,sequaniano,2.17,10.84,55.2,29.48,37.68,74.4,,0.89,0.6,0.96,0.9,0.3,0.52,normal
3.184,2.098,campo,kimmeridgiano,2.23,11.92,37.8,37.72,44.88,96.6,,0.89,0.72,0.6,0.99,0.48,0.81,normal
3.47,5.555,pastagem,kimmeridgiano,2.234,13.48,45.2,29.68,48.4,64.0,,0.9,0.89,0.82,0.91,0.54,0.38,normal
2.974,4.937,pastagem,argoviano,2.26,5.88,36.44,21.52,36.28,77.6,,0.9,0.21,0.56,0.55,0.24,0.58,normal
3.994,3.814,campo,quaternario,2.423,14.48,45.6,28.32,80.4,84.0,,0.9,0.95,0.85,0.86,0.89,0.69,normal
1.889,2.462,floresta,kimmeridgiano,2.505,10.2,48.4,31.04,65.2,78.4,,0.91,0.54,0.9,0.93,0.79,0.59,normal
2.429,1.62,campo,sequaniano,2.535,11.84,52.4,26.64,77.6,126.8,,0.91,0.71,0.94,0.8,0.87,0.94,normal
2.883,1.237,campo,argoviano,2.55,8.52,31.24,16.12,36.56,96.96,,0.92,0.37,0.37,0.31,0.26,0.82,normal
2.623,0.853,campo,sequaniano,2.58,11.64,45.2,27.36,59.2,106.4,,0.92,0.68,0.82,0.84,0.74,0.88,normal
2.898,1.274,campo,argoviano,2.7,6.52,32.76,15.0,38.28,99.6,,0.92,0.24,0.42,0.27,0.33,0.84,normal
4.038,2.354,floresta,portlandiano,2.805,12.2,39.2,32.92,44.0,65.6,,0.93,0.76,0.67,0.96,0.45,0.42,normal
4.34,3.736,pastagem,sequaniano,2.818,11.24,35.04,21.96,46.0,80.8,,0.93,0.65,0.5,0.58,0.5,0.64,normal
4.264,3.391,campo,kimmeridgiano,2.828,11.16,32.64,24.96,135.2,132.8,,0.94,0.63,0.41,0.73,0.97,0.95,normal
3.452,4.736,pastagem,quaternario,2.96,7.2,45.2,15.0,70.4,148.4,,0.94,0.28,0.82,0.27,0.84,0.99,high_anomaly
3.652,4.312,floresta,sequaniano,3.149,10.72,51.2,27.72,56.0,98.0,,0.94,0.58,0.92,0.84,0.68,0.83,normal
3.493,5.092,pastagem,argoviano,3.421,9.8,52.4,20.44,34.32,134.4,,0.95,0.5,0.94,0.49,0.18,0.96,normal
1.857,0.659,pastagem,sequaniano,3.53,10.08,52.8,24.44,118.0,124.8,,0.95,0.52,0.95,0.7,0.96,0.94,normal
1.315,1.975,pastagem,sequaniano,3.68,11.12,52.0,28.72,56.4,89.6,,0.96,0.62,0.93,0.88,0.68,0.74,normal
2.972,0.988,pastagem,sequaniano,3.805,9.16,67.04,28.88,229.56,219.32,,0.96,0.43,1.0,0.89,1.0,1.0,high_anomaly
1.35,1.97,pastagem,sequaniano,3.81,10.12,60.8,27.08,64.8,102.0,,0.96,0.52,0.98,0.83,0.78,0.86,normal
3.8,4.578,campo,argoviano,3.873,9.84,46.0,21.64,46.0,143.2,,0.97,0.5,0.86,0.56,0.5,0.98,normal
3.196,1.814,floresta,kimmeridgiano,3.925,12.92,25.6,26.12,84.16,92.36,,0.97,0.85,0.18,0.76,0.92,0.79,normal
2.596,3.212,pastagem,sequaniano,3.995,8.64,49.72,22.0,45.16,118.24,,0.98,0.38,0.9,0.59,0.48,0.91,normal
3.559,4.009,pastagem,sequaniano,4.02,6.16,60.8,21.96,52.0,101.6,,0.98,0.22,0.98,0.58,0.61,0.84,normal
3.001,2.581,pastagem,kimmeridgiano,4.18,9.6,45.32,22.2,42.04,81.72,,0.98,0.46,0.84,0.6,0.42,0.66,normal
3.514,5.119,pastagem,argoviano,4.191,9.28,52.0,21.76,33.36,145.6,,0.99,0.44,0.93,0.56,0.16,0.98,high_anomaly
3.512,5.124,pastagem,argoviano,4.227,9.64,48.4,22.92,34.64,136.8,,0.99,0.47,0.9,0.63,0.19,0.97,normal
2.902,1.263,campo,argoviano,4.495,10.32,39.16,22.64,32.92,101.68,,1.0,0.54,0.66,0.62,0.14,0.85,normal
3.504,5.13,pastagem,argoviano,5.129,8.6,39.24,18.28,36.8,135.6,,1.0,0.38,0.67,0.4,0.27,0.96,normal
